Player,Club,Age,Fee,Total Score
Jordan Henderson,Liverpool,28,18.0,911.5202916930882
Daniel Sturridge,Liverpool,28,15.0,754.8036682911685
Adam Lallana,Liverpool,30,31.0,717.903455928979
Dejan Lovren,Liverpool,29,25.3,835.6119791666666
Divock Origi,Liverpool,23,12.63,848.99147760121
Roberto Firmino,Liverpool,26,41.0,822.8086782182378
Joe Gomez,Liverpool,21,4.9,886.8489583333334
Sadio Mané,Liverpool,26,41.2,891.5975453664197
Georginio Wijnaldum,Liverpool,27,27.5,732.2070613280189
Virgil van Dijk,Liverpool,27,84.65,898.6328125000001
Mohamed Salah,Liverpool,26,42.0,888.6453850164805
Andrew Robertson,Liverpool,24,9.0,731.7708333333334
Naby Keïta,Liverpool,23,60.0,910.2741416794998
Fabinho,Liverpool,24,45.0,852.589342331733
Xherdan Shaqiri,Liverpool,26,14.7,757.313766810719
Antonio Valencia,Manchester United,32,18.8,875.7161458333333
Chris Smalling,Manchester United,28,8.0,649.2838541666665
Phil Jones,Manchester United,26,19.3,901.8880208333336
Ashley Young,Manchester United,33,18.0,789.453125
Juan Mata,Manchester United,30,44.73,643.7448767339416
Marouane Fellaini,Manchester United,30,32.4,827.7331506477036
Luke Shaw,Manchester United,23,37.5,719.4010416666667
Ander Herrera,Manchester United,28,36.0,888.0168040583386
Anthony Martial,Manchester United,22,60.0,919.9154885178896
Matteo Darmian,Manchester United,28,18.0,732.7473958333331
Paul Pogba,Manchester United,25,105.0,929.4941797264244
Eric Bailly,Manchester United,24,38.0,868.8802083333333
Romelu Lukaku,Manchester United,25,84.7,765.7692673298425
Victor Lindelöf,Manchester United,24,35.0,718.75
Alexis Sánchez,Manchester United,29,34.0,765.7191461839718
Fred,Manchester United,25,59.0,970.2020110517258
Diogo Dalot,Manchester United,19,22.0,637.3046875
David Luiz,Chelsea,31,25.0,850.7161458333333
Eden Hazard,Chelsea,27,35.0,965.1304482189828
César Azpilicueta,Chelsea,28,8.8,746.2890625
Willian,Chelsea,29,35.5,837.0715824566074
Pedro,Chelsea,31,27.0,973.0068275554738
N'Golo Kanté,Chelsea,27,35.8,867.1770540809856
David Luiz,Chelsea,31,35.0,850.7161458333333
Marcos Alonso,Chelsea,27,23.0,765.1692708333334
Álvaro Morata,Chelsea,25,66.0,612.17240145758
