Date,Minute,Player,Squad,xG_x,PSxG,Outcome,Distance,Body Part,Notes,Time,Round,Day,Venue,Result,GF,GA,Points,Opponent,xG_y,xGA,Poss,Attendance,Captain,Formation,Referee
2018-08-12,17,Sadio Mané,Liverpool,0.04,,Blocked,16.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,18,Roberto Firmino,Liverpool,0.59,,Off Target,5.0,Right Foot,Volley,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,19,Mohamed Salah,Liverpool,0.74,0.95,Goal,4.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,24,Trent Alexander-Arnold,Liverpool,0.06,0.57,Saved,31.0,Right Foot,Free kick,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,25,Georginio Wijnaldum,Liverpool,0.09,,Off Target,12.0,Left Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,36,Mohamed Salah,Liverpool,0.06,0.06,Saved,12.0,Head,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,37,Mohamed Salah,Liverpool,0.53,0.62,Saved,5.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,45,Sadio Mané,Liverpool,0.75,0.94,Goal,4.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,53,Sadio Mané,Liverpool,0.11,0.28,Goal,16.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,65,James Milner,Liverpool,0.08,,Blocked,23.0,Right Foot,Free kick,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,65,Mohamed Salah,Liverpool,0.04,,Off Target,21.0,Left Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,68,Sadio Mané,Liverpool,0.08,,Off Target,6.0,Head,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,70,Joe Gomez,Liverpool,0.15,,Off Target,10.0,Other,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,73,Georginio Wijnaldum,Liverpool,0.03,,Off Target,30.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,78,Naby Keïta,Liverpool,0.03,,Off Target,14.0,Left Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,80,Georginio Wijnaldum,Liverpool,0.05,,Blocked,20.0,Right Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,88,Daniel Sturridge,Liverpool,0.59,0.94,Goal,3.0,Left Foot,Volley,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-12,90,Daniel Sturridge,Liverpool,0.05,0.1,Saved,15.0,Left Foot,,13:30,Matchweek 1,Sun,Home,W,4.0,0.0,3.0,West Ham,4.0,0.7,64.0,53235.0,James Milner,4-3-3,Anthony Taylor
2018-08-20,3,Mohamed Salah,Liverpool,0.05,,Blocked,14.0,Left Foot,,20:00,Matchweek 2,Mon,Away,W,2.0,0.0,3.0,Crystal Palace,2.6,0.4,63.0,25750.0,James Milner,4-3-3,Michael Oliver
