Player,Nation,Age,Club,90 minutes played,Minutes played,Position,Passes completed,Passes attempted,Completed passes %,Total pass distance,Progressive pass distance,Short passes completed,Short passes attempted,Short passes completed %,Medium passes completed,Medium passes attempted,Medium passes completed %,Long passes completed,Long passes attempted,Long passes completed %,Assists,Expected Assisted Goals,Expected Assists,A minus xAG,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Shot creating actions,Shot creating actions per 90,Shot creating actions by live-ball passes,Shot creating actions by dead-ball passes,Successful Take-Ons that led to a shot,Shots that led to another shot attempt,Fouls drawn that led to a shot attempt,Defensive actions that led to a shot attempt,Goal creating actions,Goal creating actions per 90,Goal creating actions by live-ball passes,Goal creating actions by dead-ball passes,Successful Take-Ons that led to a goal,Shots that led to another goal-scoring shot,Fouls drawn that led to a goal,Defensive actions that led to a goal,Goals,Shots on target,Shots on target %,Shots per 90,Shots on target per 90,Goals per shot,Goals per shot on target,Average shooting distance,Shots from free kicks,Penalty kicks made,Penalty kicks attempted,Expected Goals,Non-penalty expected goals,Non-penalty expected goals/Shot,Goals minus expected Goals,Non-penalty goals minus non-penalty expected Goals,Tackles,Tackles won,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Dribblers tackled,% of dribblers tackled,Challenges lost,Balls blocked,Passes blocked,Interceptions,Number of tackles and interceptions,Clearances,Errors,Tackles won %,Touches,Touches in defensive penalty area,Touches in defensive 1/3,Touches in middle 1/3,Touches in attacking 1/3,Touches in attacking penalty area,Live-ball touches,Take ons attempted,Successful take ons,Successful take ons %,Times tackled during take on,Times tackled during take on %,Times ball carried with feet,Total moved ball distance,Progressive moved ball distance,Progressive Carries,Carries into final 1/3,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive Passes Received,Yellow cards,Red cards,Second yellow card,Fouls committed,Offsides,Crosses,Penalty kicks won,Penalty kicks conceded,Own goals,Recoveries,Aerial duels won,Aerial duels won %,Goals_percentile,Assists_percentile,Expected Goals_percentile,Expected Assisted Goals_percentile,Progressive Passes Received_percentile,Shot creating actions_percentile,Crosses into penalty area_percentile,Successful take ons_percentile,Goals per shot on target_percentile,Shots on target %_percentile,Aerial duels won %_percentile,Carries into final 1/3_percentile,Passes completed_percentile,Progressive passes_percentile,Passes into final third_percentile,Interceptions_percentile,Balls blocked_percentile,Touches_percentile,Long passes completed %_percentile,Clearances_percentile,Tackles won %_percentile,Progressive moved ball distance_percentile,Recoveries_percentile,Passes attempted_percentile,Errors_percentile,Fouls committed_percentile,Progressive pass distance_percentile,Total Score
Raheem Sterling,ENG,23,Manchester City,30.8,2771,FW,1415.0,1736.0,81.5,16084.0,3424.0,943.0,1043.0,90.4,285.0,372.0,76.6,28.0,65.0,43.1,0.45470949115842657,0.42547816672681343,10.8,0.9,92.0,31.0,70.0,0.19487549621075423,117.0,6.430891374954889,4.89,133.0,3.0,32.0,15.0,14.0,1.0,34.0,0.84,21.0,1.0,6.0,0.0,6.0,0.0,0.811981234211476,55.0,48.7,2.47,1.2,0.22,0.45,14.2,1.0,0,0,0.5424034644532659,16.7,0.17,5.3,5.3,42.0,25.0,15.0,14.0,13.0,13.0,31.7,28.0,34.0,31.0,27.0,66.0,9.0,0.0,0.5952380952380952,2252.0,13.0,106.0,746.0,1434.0,333.0,2252.0,203.0,3.6701551786358713,55.7,89.0,43.8,1741.0,10293.0,5519.0,209.0,4.319740166005053,114.0,94.0,118.0,1857.0,18.545651389390112,5.0,0.0,0.0,63.0,21.0,103.0,4.0,0.0,0.0,156.0,18.0,36.7,92.40506329113924,95.77167019027483,85.65400843881856,96.40591966173362,99.15611814345992,97.25738396624473,65.3276955602537,95.78059071729957,84.07643312101911,88.39662447257383,43.551797040169134,94.72573839662446,,,,,,,,,,,,,,,,1038.5090429996108
Sergio Agüero,ARG,30,Manchester City,27.3,2459,FW,805.0,964.0,83.5,9350.0,1678.0,516.0,577.0,89.4,178.0,209.0,85.2,15.0,27.0,55.6,0.36600244001626675,0.1939812932086214,5.3,4.7,39.0,45.0,50.0,0.0,88.0,3.9162261081740546,3.25,73.0,1.0,14.0,10.0,7.0,2.0,22.0,0.67,17.0,0.0,2.0,2.0,1.0,0.0,1.1712078080520536,67.0,40.4,4.47,1.8,0.17,0.42,15.4,3.0,4,6,0.8674257828385523,20.5,0.14,3.3,3.5,21.0,14.0,1.0,12.0,8.0,5.0,33.3,10.0,17.0,16.0,12.0,32.0,4.0,0.0,0.6666666666666666,1365.0,4.0,24.0,477.0,875.0,244.0,1361.0,95.0,2.049613664091094,58.9,39.0,41.1,1010.0,5564.0,2373.0,100.0,2.745018300122001,46.0,86.0,65.0,1097.0,11.089873932492884,7.0,0.0,0.0,29.0,33.0,20.0,0.0,0.0,0.0,79.0,23.0,47.9,98.10126582278481,91.75475687103594,97.8902953586498,70.61310782241014,82.91139240506328,73.20675105485233,13.636363636363635,78.90295358649789,77.70700636942675,62.9746835443038,80.76109936575054,78.90295358649789,,,,,,,,,,,,,,,,907.3626294236369
Leroy Sané,GER,22,Manchester City,20.7,1867,FW,891.0,1146.0,77.7,10345.0,2257.0,581.0,663.0,87.6,185.0,247.0,74.9,21.0,62.0,33.9,0.8194965184788431,0.5206213176218533,9.0,6.2,53.0,18.0,39.0,0.144617032672737,82.0,5.35083020889127,4.41,70.0,11.0,15.0,6.0,8.0,1.0,21.0,0.84,18.0,0.0,3.0,0.0,0.0,0.0,0.771290840921264,35.0,40.2,2.9,1.17,0.18,0.46,17.1,7.0,0,0,0.4001071237279058,8.3,0.12,5.7,5.7,30.0,27.0,8.0,11.0,11.0,3.0,10.3,26.0,24.0,21.0,13.0,40.0,4.0,0.0,0.9,1496.0,12.0,81.0,384.0,1059.0,212.0,1496.0,143.0,3.5672201392608467,51.7,69.0,48.3,1141.0,6704.0,3285.0,110.0,2.6513122656668453,57.0,86.0,60.0,1173.0,18.944831280128547,1.0,0.0,0.0,12.0,21.0,129.0,1.0,0.0,0.0,118.0,11.0,30.6,90.50632911392405,99.36575052854123,64.55696202531645,99.36575052854123,99.57805907172997,90.92827004219409,56.87103594080338,95.56962025316456,85.03184713375796,62.65822784810127,28.858350951374206,77.21518987341773,,,,,,,,,,,,,,,,950.5053933108661
Riyad Mahrez,ALG,27,Manchester City,14.9,1343,FW,887.0,1121.0,79.1,14018.0,2820.0,461.0,516.0,89.3,299.0,380.0,78.7,74.0,124.0,59.7,0.8041697691734921,0.43559195830230824,6.6,5.5,37.0,34.0,55.0,0.8711839166046165,94.0,4.892032762472078,3.79,47.0,8.0,6.0,7.0,3.0,2.0,14.0,0.73,9.0,2.0,1.0,1.0,0.0,1.0,0.8041697691734921,39.0,39.8,3.41,1.36,0.12,0.31,17.5,1.0,0,1,0.45569620253164556,6.0,0.09,1.2,2.0,23.0,17.0,4.0,14.0,5.0,9.0,33.3,18.0,26.0,24.0,13.0,33.0,13.0,1.0,0.7391304347826086,1353.0,10.0,83.0,541.0,740.0,110.0,1352.0,46.0,1.8093819806403573,58.7,19.0,41.3,1030.0,6754.0,3173.0,107.0,4.355919583023082,58.0,32.0,32.0,1018.0,15.748324646314222,1.0,0.0,0.0,20.0,16.0,151.0,0.0,0.0,0.0,103.0,21.0,42.9,91.77215189873418,99.15433403805497,75.73839662447257,97.04016913319239,97.0464135021097,86.49789029535864,96.82875264270614,71.72995780590718,47.66454352441614,58.122362869198305,63.74207188160676,95.35864978902954,,,,,,,,,,,,,,,,980.6956940047866
Gabriel Jesus,BRA,21,Manchester City,11.5,1036,FW,383.0,471.0,81.3,4147.0,584.0,233.0,266.0,87.6,82.0,102.0,80.4,7.0,12.0,58.3,0.6081081081081081,0.22586872586872586,1.5,4.4,26.0,17.0,10.0,0.0,27.0,5.646718146718147,4.15,48.0,0.0,8.0,6.0,3.0,0.0,9.0,0.57,6.0,0.0,0.0,2.0,1.0,0.0,1.8243243243243243,49.0,49.5,3.87,1.92,0.18,0.37,13.1,0.0,3,3,1.3117760617760617,12.8,0.21,-4.1,-4.8,12.0,9.0,6.0,3.0,3.0,0.0,0.0,7.0,21.0,19.0,8.0,16.0,10.0,0.0,0.75,703.0,10.0,48.0,262.0,406.0,120.0,700.0,45.0,2.171814671814672,55.6,20.0,44.4,505.0,2435.0,1138.0,48.0,2.4324324324324325,26.0,42.0,32.0,552.0,14.768339768339768,1.0,0.0,0.0,25.0,31.0,7.0,0.0,0.0,0.0,54.0,18.0,26.1,100.0,97.88583509513742,99.78902953586498,78.64693446088795,94.09282700421942,92.82700421940928,13.636363636363635,81.22362869198312,63.90658174097664,89.66244725738397,19.23890063424947,70.25316455696202,,,,,,,,,,,,,,,,901.1627168334379
Mohamed Salah,EGY,26,Liverpool,36.1,3250,FW,1086.0,1507.0,72.1,13894.0,3911.0,688.0,842.0,81.7,254.0,356.0,71.3,49.0,101.0,48.5,0.27692307692307694,0.35169230769230764,10.5,-2.7,82.0,71.0,87.0,0.11076923076923077,165.0,5.843076923076922,4.41,137.0,5.0,33.0,20.0,16.0,0.0,25.0,0.52,10.0,1.0,5.0,4.0,5.0,0.0,0.7476923076923077,73.0,39.5,3.84,1.52,0.12,0.3,17.1,4.0,5,5,0.756,23.4,0.13,-0.3,-1.4,32.0,12.0,5.0,12.0,15.0,9.0,37.5,15.0,12.0,12.0,9.0,41.0,7.0,1.0,0.375,2101.0,8.0,78.0,607.0,1442.0,375.0,2096.0,190.0,2.88,54.7,86.0,45.3,1585.0,9612.0,4830.0,168.0,3.2399999999999998,116.0,147.0,150.0,1657.0,16.06153846153846,2.0,0.0,0.0,43.0,33.0,79.0,5.0,0.0,0.0,169.0,15.0,16.1,88.81856540084388,80.54968287526427,95.9915611814346,94.9260042283298,97.67932489451476,94.51476793248945,48.94291754756871,91.13924050632912,45.43524416135881,56.9620253164557,7.188160676532769,86.49789029535864,,,,,,,,,,,,,,,,888.6453850164805
Sadio Mané,SEN,26,Liverpool,34.2,3077,FW,1198.0,1592.0,75.3,17340.0,3904.0,700.0,825.0,84.8,350.0,456.0,76.8,74.0,115.0,64.3,0.05849853753656159,0.19012024699382518,6.4,-4.5,61.0,89.0,78.0,0.17549561260968477,179.0,4.972375690607735,3.62,120.0,0.0,21.0,11.0,17.0,1.0,22.0,0.47,11.0,0.0,7.0,1.0,3.0,0.0,0.7604809879753007,51.0,45.1,2.37,1.07,0.23,0.51,12.9,0.0,0,1,0.6785830354241144,22.3,0.2,2.8,3.7,55.0,45.0,21.0,26.0,8.0,16.0,31.4,35.0,38.0,32.0,20.0,75.0,15.0,2.0,0.8181818181818182,2148.0,21.0,176.0,855.0,1145.0,258.0,2147.0,146.0,2.3106922326941826,54.1,67.0,45.9,1590.0,10010.0,4749.0,175.0,3.392915177120572,66.0,141.0,79.0,1684.0,11.290217744556385,4.0,0.0,0.0,59.0,39.0,56.0,3.0,0.0,0.0,195.0,53.0,33.1,89.87341772151899,24.52431289640592,93.45991561181435,68.92177589852008,84.17721518987342,87.9746835443038,62.36786469344609,84.59915611814345,92.1443736730361,80.59071729957806,34.98942917547569,87.9746835443038,,,,,,,,,,,,,,,,891.5975453664197
Roberto Firmino,BRA,26,Liverpool,29.0,2607,FW,1304.0,1639.0,79.6,16764.0,4456.0,775.0,917.0,84.5,356.0,442.0,80.5,42.0,66.0,63.6,0.24165707710011508,0.22784810126582278,7.3,0.4,55.0,113.0,65.0,0.06904487917146145,187.0,4.833141542002302,3.76,111.0,1.0,10.0,11.0,3.0,4.0,19.0,0.51,14.0,0.0,3.0,1.0,1.0,0.0,0.5523590333716916,39.0,42.4,2.47,1.05,0.16,0.38,15.1,0.0,1,1,0.5523590333716916,15.2,0.17,0.0,-0.2,42.0,29.0,7.0,22.0,13.0,10.0,20.0,40.0,46.0,45.0,9.0,50.0,19.0,1.0,0.6904761904761905,2048.0,22.0,112.0,984.0,972.0,193.0,2047.0,88.0,2.036823935558113,67.0,29.0,33.0,1348.0,6414.0,2894.0,75.0,2.278481012658228,18.0,106.0,75.0,1643.0,10.701956271576524,0.0,0.0,0.0,48.0,8.0,16.0,0.0,0.0,0.0,142.0,37.0,27.8,75.52742616033755,72.3044397463002,86.07594936708861,79.06976744186046,81.22362869198312,85.86497890295358,36.99788583509514,78.27004219409282,66.87898089171973,70.9915611814346,22.30443974630021,67.29957805907173,,,,,,,,,,,,,,,,822.8086782182378
Xherdan Shaqiri,SUI,26,Liverpool,11.8,1064,FW,611.0,803.0,76.1,9754.0,2502.0,333.0,381.0,87.4,181.0,233.0,77.7,68.0,123.0,55.3,0.42293233082706766,0.21146616541353383,3.1,2.5,22.0,49.0,39.0,0.5075187969924811,98.0,3.8063909774436087,3.27,32.0,7.0,1.0,3.0,2.0,0.0,13.0,0.94,8.0,2.0,1.0,2.0,0.0,0.0,0.5075187969924811,11.0,31.4,2.22,0.7,0.17,0.55,19.9,6.0,0,0,0.36372180451127817,4.3,0.14,1.7,1.7,15.0,6.0,3.0,9.0,3.0,9.0,42.9,12.0,9.0,8.0,7.0,22.0,8.0,0.0,0.4,932.0,8.0,78.0,447.0,416.0,30.0,932.0,17.0,0.5075187969924811,35.3,11.0,64.7,639.0,3325.0,1278.0,37.0,3.3834586466165413,7.0,27.0,21.0,707.0,7.5281954887218046,2.0,0.0,0.0,10.0,4.0,66.0,0.0,0.0,0.0,75.0,3.0,30.0,72.15189873417721,94.9260042283298,57.17299578059072,75.47568710359408,48.31223628691983,70.88607594936708,88.16067653276956,17.932489451476794,93.52441613588111,23.417721518987342,27.58985200845666,87.76371308016878,,,,,,,,,,,,,,,,757.313766810719
Daniel Sturridge,ENG,28,Liverpool,5.7,509,FW,188.0,241.0,78.0,2750.0,850.0,111.0,130.0,85.4,49.0,61.0,80.3,15.0,21.0,71.4,0.3536345776031434,0.3536345776031434,1.0,0.0,12.0,16.0,13.0,0.0,38.0,3.7131630648330063,2.8,18.0,0.0,2.0,0.0,1.0,0.0,3.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.7072691552062867,10.0,32.3,3.17,1.02,0.13,0.4,19.1,0.0,0,0,0.49508840864440073,2.8,0.11,0.2,0.2,3.0,5.0,1.0,1.0,1.0,2.0,66.7,1.0,5.0,4.0,2.0,5.0,0.0,0.0,1.6666666666666667,322.0,1.0,11.0,162.0,152.0,33.0,322.0,14.0,1.5913555992141453,64.3,5.0,35.7,237.0,1163.0,445.0,15.0,2.475442043222004,4.0,24.0,13.0,263.0,9.371316306483301,2.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,26.0,4.0,15.4,87.13080168776372,90.80338266384777,81.64556962025317,95.13742071881607,71.72995780590718,69.83122362869199,13.636363636363635,66.66666666666666,73.67303609341825,26.476793248945146,6.342494714587738,71.72995780590718,,,,,,,,,,,,,,,,754.8036682911685
