Player,Club,Nation,Pos,Age,Minutes,Fouls,Interceptions,Clearances,Errors,Blocked passes and shots,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Progressive Carrying Distance,Assists,Red cards,Yellow cards,% of tackles won
Aymeric Laporte,Manchester City,ESP,DF,24,3057,50.66489361702128,57.97872340425532,52.3936170212766,91.88829787234043,3.856382978723404,35.638297872340424,45.34574468085106,36.3031914893617,99.60106382978722,75.2659574468085,0.0,16.888297872340424,18.882978723404257
Kyle Walker,Manchester City,ENG,DF,28,2779,25.0,46.54255319148936,13.297872340425531,80.45212765957447,15.957446808510639,12.367021276595745,67.5531914893617,28.324468085106385,92.68617021276596,52.92553191489362,0.0,19.28191489361702,81.78191489361703
John Stones,Manchester City,ENG,DF,24,1764,4.920212765957447,44.148936170212764,51.196808510638306,60.23936170212766,34.441489361702125,6.25,30.0531914893617,50.39893617021277,99.20212765957447,0.0,0.0,9.175531914893616,95.47872340425532
Nicolás Otamendi,Manchester City,ARG,DF,30,1236,88.43085106382979,98.00531914893617,87.5,91.48936170212765,7.3138297872340425,77.52659574468085,73.8031914893617,42.02127659574468,99.46808510638297,0.0,0.0,13.430851063829788,70.47872340425532
Oleksandr Zinchenko,Manchester City,UKR,DF,21,1151,91.62234042553192,96.01063829787235,10.106382978723403,73.67021276595744,76.99468085106383,51.86170212765957,97.47340425531915,98.93617021276596,94.9468085106383,95.87765957446808,0.0,14.22872340425532,98.27127659574468
Vincent Kompany,Manchester City,BEL,DF,32,1224,80.85106382978722,55.452127659574465,65.42553191489363,0.0,16.356382978723406,32.047872340425535,17.5531914893617,61.702127659574465,97.6063829787234,0.0,0.0,94.41489361702128,55.98404255319149
Benjamin Mendy,Manchester City,FRA,DF,24,900,94.0159574468085,15.691489361702127,5.98404255319149,0.0,57.047872340425535,60.37234042553191,65.69148936170212,72.87234042553192,86.96808510638297,99.7340425531915,0.0,20.212765957446805,81.78191489361703
Danilo,Manchester City,BRA,DF,27,807,78.72340425531915,89.62765957446808,20.212765957446805,84.8404255319149,5.319148936170213,11.702127659574469,96.1436170212766,77.3936170212766,90.69148936170212,0.0,0.0,23.93617021276596,99.7340425531915
Fabian Delph,Manchester City,ENG,DF,28,725,80.71808510638297,90.02659574468085,24.601063829787233,98.40425531914893,15.691489361702127,74.60106382978722,85.50531914893617,98.67021276595744,96.67553191489363,84.44148936170212,98.13829787234043,28.590425531914892,54.25531914893617
Virgil van Dijk,Liverpool,NED,DF,27,3384,5.851063829787234,28.98936170212766,96.1436170212766,74.46808510638297,28.590425531914892,18.75,38.03191489361702,34.97340425531915,86.17021276595744,64.8936170212766,0.0,6.25,68.61702127659575
Andrew Robertson,Liverpool,SCO,DF,24,3216,20.74468085106383,12.5,11.569148936170212,85.1063829787234,56.25,83.37765957446808,90.42553191489363,87.63297872340425,94.28191489361703,98.67021276595744,0.0,24.46808510638298,18.617021276595743
Trent Alexander-Arnold,Liverpool,ENG,DF,19,2462,17.420212765957448,67.81914893617021,36.3031914893617,53.8563829787234,25.930851063829785,77.6595744680851,87.2340425531915,95.34574468085107,87.5,99.60106382978722,0.0,23.27127659574468,24.46808510638298
Joël Matip,Liverpool,CMR,DF,26,1537,55.452127659574465,92.2872340425532,95.47872340425532,0.0,56.38297872340425,90.29255319148936,79.38829787234043,85.77127659574468,98.67021276595744,0.0,0.0,45.744680851063826,58.909574468085104
Joe Gomez,Liverpool,ENG,DF,21,1063,70.47872340425532,55.85106382978723,69.14893617021278,0.0,21.27659574468085,64.8936170212766,63.297872340425535,66.62234042553192,92.42021276595744,0.0,0.0,43.75,3.0585106382978724
Dejan Lovren,Liverpool,CRO,DF,29,986,1.196808510638298,15.292553191489361,84.44148936170212,95.61170212765957,46.409574468085104,43.88297872340425,47.87234042553192,0.0,88.29787234042553,0.0,0.0,17.5531914893617,69.28191489361703
César Azpilicueta,Chelsea,ESP,DF,28,3402,66.3563829787234,64.76063829787235,32.047872340425535,74.06914893617021,95.2127659574468,84.17553191489363,92.02127659574468,90.69148936170212,50.930851063829785,85.90425531914893,0.0,21.808510638297875,58.77659574468085
David Luiz,Chelsea,BRA,DF,31,3238,59.441489361702125,26.063829787234045,72.07446808510637,46.54255319148936,49.601063829787236,21.54255319148936,31.117021276595747,25.930851063829785,99.06914893617021,65.29255319148936,0.0,15.159574468085108,90.95744680851064
Antonio Rüdiger,Chelsea,GER,DF,25,2871,54.52127659574468,26.861702127659576,39.62765957446808,49.734042553191486,1.9946808510638299,27.659574468085108,12.632978723404257,27.925531914893615,97.47340425531915,0.0,0.0,59.97340425531915,19.414893617021274
Marcos Alonso,Chelsea,ESP,DF,27,2759,59.04255319148937,44.41489361702128,43.484042553191486,0.0,22.606382978723406,79.38829787234043,75.66489361702128,78.32446808510637,88.82978723404256,85.77127659574468,0.0,50.930851063829785,61.702127659574465
Emerson Palmieri,Chelsea,ITA,DF,23,663,99.46808510638297,99.20212765957447,64.49468085106383,0.0,98.93617021276596,74.86702127659575,98.93617021276596,99.20212765957447,99.86702127659575,0.0,0.0,0.0,89.36170212765957
Andreas Christensen,Chelsea,DEN,DF,22,617,98.93617021276596,99.86702127659575,99.7340425531915,0.0,97.6063829787234,61.43617021276596,99.33510638297872,85.63829787234043,99.7340425531915,0.0,0.0,35.90425531914894,33.37765957446808
Toby Alderweireld,Tottenham Hotspur,BEL,DF,29,2922,6.914893617021277,19.414893617021274,95.34574468085107,65.82446808510637,88.03191489361703,45.34574468085106,19.54787234042553,37.765957446808514,93.08510638297872,0.0,0.0,17.819148936170212,47.87234042553192
Kieran Trippier,Tottenham Hotspur,ENG,DF,27,2276,54.920212765957444,47.73936170212766,40.95744680851064,86.56914893617021,87.63297872340425,95.74468085106383,76.72872340425532,91.48936170212765,40.82446808510639,83.11170212765957,0.0,14.49468085106383,31.25
Davinson Sánchez,Tottenham Hotspur,COL,DF,22,1942,73.8031914893617,75.79787234042553,88.29787234042553,79.65425531914893,29.654255319148938,84.44148936170212,49.202127659574465,0.0,79.65425531914893,61.43617021276596,0.0,17.95212765957447,26.861702127659576
Jan Vertonghen,Tottenham Hotspur,BEL,DF,31,1911,34.57446808510639,87.10106382978722,81.25,0.0,45.34574468085106,42.68617021276596,94.28191489361703,48.005319148936174,94.0159574468085,0.0,90.02659574468085,49.202127659574465,17.420212765957448
Ben Davies,Tottenham Hotspur,WAL,DF,25,1844,80.58510638297872,52.92553191489362,59.840425531914896,59.441489361702125,83.11170212765957,96.01063829787235,69.81382978723404,80.45212765957447,80.85106382978722,0.0,0.0,19.680851063829788,19.28191489361702
Danny Rose,Tottenham Hotspur,ENG,DF,28,1798,88.6968085106383,61.569148936170215,10.23936170212766,92.15425531914893,75.39893617021278,75.39893617021278,89.8936170212766,93.21808510638297,87.89893617021278,89.49468085106383,0.0,69.68085106382979,44.015957446808514
Juan Foyth,Tottenham Hotspur,ARG,DF,20,888,96.67553191489363,62.23404255319149,76.72872340425532,96.94148936170212,66.62234042553192,93.35106382978722,94.14893617021278,0.0,85.23936170212765,0.0,97.6063829787234,80.58510638297872,68.35106382978722
Serge Aurier,Tottenham Hotspur,CIV,DF,25,564,99.86702127659575,98.5372340425532,81.78191489361703,0.0,98.8031914893617,98.40425531914893,95.07978723404256,99.06914893617021,81.25,98.93617021276596,0.0,41.090425531914896,83.37765957446808
Kyle Walker-Peters,Tottenham Hotspur,ENG,DF,21,376,98.13829787234043,36.83510638297872,1.9946808510638299,98.27127659574468,83.6436170212766,32.180851063829785,38.03191489361702,79.65425531914893,78.98936170212765,99.86702127659575,0.0,66.88829787234043,97.3404255319149
Shkodran Mustafi,Arsenal,GER,DF,26,2611,84.57446808510637,84.04255319148936,93.08510638297872,69.9468085106383,57.97872340425532,78.5904255319149,56.64893617021277,51.329787234042556,84.97340425531915,0.0,0.0,81.64893617021278,79.25531914893617
Sokratis Papastathopoulos,Arsenal,GRE,DF,30,2198,89.36170212765957,54.65425531914894,91.22340425531915,56.11702127659575,91.22340425531915,89.8936170212766,56.38297872340425,31.382978723404253,80.45212765957447,73.27127659574468,0.0,96.01063829787235,27.79255319148936
Sead Kolašinac,Arsenal,BIH,DF,25,1887,73.13829787234043,39.8936170212766,9.042553191489363,91.3563829787234,33.111702127659576,62.89893617021277,37.63297872340425,84.97340425531915,77.12765957446808,96.01063829787235,0.0,66.22340425531915,81.78191489361703
Nacho Monreal,Arsenal,ESP,DF,32,1861,64.62765957446808,87.63297872340425,62.5,0.0,86.3031914893617,69.54787234042553,63.03191489361703,85.37234042553192,65.42553191489363,88.43085106382979,0.0,68.08510638297872,9.574468085106384
Héctor Bellerín,Arsenal,ESP,DF,23,1533,30.851063829787233,19.9468085106383,9.840425531914894,95.07978723404256,26.99468085106383,3.0585106382978724,10.904255319148938,67.42021276595744,57.71276595744681,98.13829787234043,0.0,46.1436170212766,85.50531914893617
Laurent Koscielny,Arsenal,FRA,DF,32,1331,37.234042553191486,97.6063829787234,97.20744680851064,0.0,94.14893617021278,42.5531914893617,55.452127659574465,59.57446808510638,84.44148936170212,0.0,0.0,11.96808510638298,13.297872340425531
