Player,Club,Nation,Pos,Age,Minutes,Goals without penalties,Assists,Expected goals,Expected assists,Progressive runs,Shot creating actions,Crosses into penalty area,Successful Take-ons,Goals per shots on target,Shots on target %,Shots,Aerial duels won
Raheem Sterling,Manchester City,ENG,FW,23,2771,92.50535331905782,91.86295503211991,79.22912205567452,95.93147751605996,98.7152034261242,94.43254817987152,77.08779443254818,63.597430406852254,83.08351177730194,88.22269807280514,54.17558886509636,43.0406852248394
Sergio Agüero,Manchester City,ARG,FW,30,2459,97.4304068522484,92.07708779443254,97.21627408993577,71.5203426124197,78.58672376873662,66.38115631691649,0.0,74.30406852248393,76.65952890792292,62.526766595289075,97.4304068522484,80.51391862955032
Leroy Sané,Manchester City,GER,FW,22,1867,85.86723768736617,98.92933618843684,51.82012847965739,98.50107066381156,99.78586723768737,89.07922912205566,56.102783725910065,52.46252676659529,84.58244111349036,62.31263383297645,73.01927194860814,28.051391862955033
Riyad Mahrez,Manchester City,ALG,FW,27,1343,84.79657387580299,87.79443254817987,61.88436830835118,95.71734475374733,97.00214132762312,79.01498929336188,94.64668094218416,73.01927194860814,46.25267665952891,57.601713062098504,88.43683083511777,62.74089935760171
Gabriel Jesus,Manchester City,BRA,FW,21,1036,89.72162740899357,86.50963597430406,99.57173447537473,77.51605995717344,91.43468950749465,84.1541755888651,0.0,62.31263383297645,62.95503211991434,89.72162740899357,94.64668094218416,18.41541755888651
Mohamed Salah,Liverpool,EGY,FW,26,3250,90.36402569593149,79.44325481798715,92.50535331905782,91.22055674518201,93.79014989293361,89.07922912205566,67.6659528907923,60.599571734475376,43.46895074946467,56.53104925053534,94.21841541755889,6.638115631691649
Sadio Mané,Liverpool,SEN,FW,26,3077,96.1456102783726,23.98286937901499,77.94432548179871,52.67665952890792,68.95074946466809,74.94646680942184,77.08779443254818,58.45824411134903,91.86295503211991,80.51391862955032,49.46466809421842,34.475374732334046
Roberto Firmino,Liverpool,BRA,FW,26,2607,72.59100642398288,75.58886509635975,82.86937901498929,73.66167023554604,70.2355460385439,77.94432548179871,44.96788008565311,90.79229122055675,64.02569593147751,70.44967880085653,54.17558886509636,21.627408993576015
Xherdan Shaqiri,Liverpool,SUI,FW,26,1064,88.43683083511777,84.58244111349036,54.17558886509636,53.96145610278372,33.40471092077088,66.59528907922912,77.08779443254818,12.419700214132762,93.14775160599572,22.698072805139187,40.25695931477516,26.98072805139186
Daniel Sturridge,Liverpool,ENG,FW,28,509,68.52248394004282,68.52248394004282,27.62312633832976,56.102783725910065,38.11563169164882,52.03426124197003,0.0,86.50963597430406,71.5203426124197,25.910064239828696,82.01284796573876,5.567451820128479
