Player,Club,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Ederson,Manchester City,BRA,GK,24.0,55.3,7.0,0.15,4.0,3.0,0.0,0.0,0.0,0.0,2.0,0.04,1.0,1.0,0.0,0.0,0.0,0.0
Aymeric Laporte,Manchester City,ESP,DF,24.0,48.3,50.0,1.14,46.0,0.0,2.0,2.0,0.0,0.0,7.0,0.16,7.0,0.0,0.0,0.0,0.0,0.0
Kyle Walker,Manchester City,ENG,DF,28.0,48.1,75.0,1.91,69.0,0.0,1.0,2.0,2.0,1.0,5.0,0.13,5.0,0.0,0.0,0.0,0.0,0.0
Raheem Sterling,Manchester City,ENG,FW,23.0,45.8,198.0,4.89,133.0,3.0,32.0,15.0,14.0,1.0,34.0,0.84,21.0,1.0,6.0,0.0,6.0,0.0
Bernardo Silva,Manchester City,POR,"MF,FW",23.0,44.8,173.0,4.54,139.0,8.0,12.0,8.0,5.0,1.0,20.0,0.52,18.0,0.0,0.0,0.0,2.0,0.0
David Silva,Manchester City,ESP,MF,32.0,41.2,189.0,5.46,156.0,9.0,6.0,13.0,4.0,1.0,25.0,0.72,22.0,1.0,0.0,0.0,1.0,1.0
İlkay Gündoğan,Manchester City,GER,MF,27.0,38.0,125.0,4.13,89.0,27.0,2.0,5.0,2.0,0.0,16.0,0.53,15.0,1.0,0.0,0.0,0.0,0.0
Fernandinho,Manchester City,BRA,"MF,DF",33.0,37.4,88.0,2.62,77.0,0.0,1.0,2.0,4.0,4.0,11.0,0.33,9.0,0.0,0.0,0.0,1.0,1.0
Sergio Agüero,Manchester City,ARG,FW,30.0,37.2,107.0,3.25,73.0,1.0,14.0,10.0,7.0,2.0,22.0,0.67,17.0,0.0,2.0,2.0,1.0,0.0
John Stones,Manchester City,ENG,DF,24.0,31.7,20.0,0.82,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leroy Sané,Manchester City,GER,"FW,DF",22.0,30.0,111.0,4.41,70.0,11.0,15.0,6.0,8.0,1.0,21.0,0.84,18.0,0.0,3.0,0.0,0.0,0.0
Riyad Mahrez,Manchester City,ALG,FW,27.0,28.7,73.0,3.79,47.0,8.0,6.0,7.0,3.0,2.0,14.0,0.73,9.0,2.0,1.0,1.0,0.0,1.0
Nicolás Otamendi,Manchester City,ARG,DF,30.0,27.9,15.0,0.83,12.0,0.0,1.0,2.0,0.0,0.0,2.0,0.11,2.0,0.0,0.0,0.0,0.0,0.0
Oleksandr Zinchenko,Manchester City,UKR,DF,21.0,26.3,39.0,2.36,36.0,2.0,1.0,0.0,0.0,0.0,8.0,0.48,8.0,0.0,0.0,0.0,0.0,0.0
Gabriel Jesus,Manchester City,BRA,FW,21.0,25.6,65.0,4.15,48.0,0.0,8.0,6.0,3.0,0.0,9.0,0.57,6.0,0.0,0.0,2.0,1.0,0.0
Kevin De Bruyne,Manchester City,BEL,MF,27.0,20.2,97.0,7.15,66.0,16.0,8.0,3.0,4.0,0.0,11.0,0.81,7.0,2.0,1.0,0.0,1.0,0.0
Vincent Kompany,Manchester City,BEL,DF,32.0,19.9,15.0,0.94,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0
Danilo,Manchester City,BRA,DF,27.0,16.5,19.0,1.84,16.0,0.0,0.0,2.0,1.0,0.0,3.0,0.29,2.0,0.0,0.0,1.0,0.0,0.0
Benjamin Mendy,Manchester City,FRA,DF,24.0,14.1,30.0,2.52,24.0,2.0,1.0,2.0,0.0,1.0,7.0,0.59,5.0,1.0,0.0,1.0,0.0,0.0
Fabian Delph,Manchester City,ENG,"DF,MF",28.0,13.6,17.0,1.55,16.0,0.0,0.0,1.0,0.0,0.0,3.0,0.27,2.0,0.0,0.0,1.0,0.0,0.0
Phil Foden,Manchester City,ENG,MF,18.0,12.8,26.0,5.11,17.0,1.0,5.0,0.0,3.0,0.0,2.0,0.39,1.0,0.0,1.0,0.0,0.0,0.0
Arijanet Muric,Manchester City,KVX,GK,19.0,5.3,,,,,,,,,,,,,,,,
Eric García,Manchester City,ESP,DF,17.0,3.3,,,,,,,,,,,,,,,,
Brahim Díaz,Manchester City,MAR,"FW,MF",18.0,2.3,,,,,,,,,,,,,,,,
Philippe Sandler,Manchester City,NED,DF,21.0,1.3,,,,,,,,,,,,,,,,
Claudio Bravo,Manchester City,CHI,GK,35.0,1.0,,,,,,,,,,,,,,,,
Ian Carlo Poveda,Manchester City,ENG,FW,18.0,1.0,,,,,,,,,,,,,,,,
Felix Nmecha,Manchester City,GER,MF,17.0,0.3,,,,,,,,,,,,,,,,
Alisson,Liverpool,BRA,GK,25.0,51.0,6.0,0.12,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,1.0,0.0,0.0,0.0,0.0
Virgil van Dijk,Liverpool,NED,DF,27.0,49.6,41.0,0.83,35.0,0.0,1.0,4.0,0.0,1.0,10.0,0.2,7.0,0.0,0.0,3.0,0.0,0.0
Mohamed Salah,Liverpool,EGY,FW,26.0,48.1,211.0,4.41,137.0,5.0,33.0,20.0,16.0,0.0,25.0,0.52,10.0,1.0,5.0,4.0,5.0,0.0
Sadio Mané,Liverpool,SEN,FW,26.0,47.7,170.0,3.62,120.0,0.0,21.0,11.0,17.0,1.0,22.0,0.47,11.0,0.0,7.0,1.0,3.0,0.0
Andrew Robertson,Liverpool,SCO,DF,24.0,46.9,118.0,2.52,105.0,2.0,4.0,4.0,3.0,0.0,21.0,0.45,20.0,0.0,1.0,0.0,0.0,0.0
Georginio Wijnaldum,Liverpool,NED,MF,27.0,41.0,72.0,1.75,58.0,3.0,3.0,3.0,3.0,2.0,10.0,0.24,8.0,0.0,0.0,1.0,1.0,0.0
Trent Alexander-Arnold,Liverpool,ENG,DF,19.0,37.6,129.0,3.43,85.0,32.0,7.0,2.0,1.0,2.0,23.0,0.61,16.0,6.0,0.0,0.0,0.0,1.0
Roberto Firmino,Liverpool,BRA,"FW,MF",26.0,37.2,140.0,3.76,111.0,1.0,10.0,11.0,3.0,4.0,19.0,0.51,14.0,0.0,3.0,1.0,1.0,0.0
Fabinho,Liverpool,BRA,"MF,DF",24.0,32.5,52.0,1.7,42.0,0.0,2.0,2.0,3.0,3.0,5.0,0.16,4.0,0.0,0.0,0.0,1.0,0.0
