Player,Team,Position,Fee,Season,Transfer
Philippe Coutinho,Liverpool,Attacking Midfield,135.0,2017/2018,Departure
Paul Pogba,Manchester United,Central Midfield,105.0,2016/2017,Arrival
Gareth Bale,Tottenham Hotspur,Right Winger,101.0,2013/2014,Departure
Romelu Lukaku,Manchester United,Centre-Forward,84.7,2017/2018,Arrival
Virgil van Dijk,Liverpool,Centre-Back,84.65,2017/2018,Arrival
Luis Suárez,Liverpool,Centre-Forward,81.72,2014/2015,Departure
Kepa Arrizabalaga,Chelsea,Goalkeeper,80.0,2018/2019,Arrival
Kevin De Bruyne,Manchester City,Attacking Midfield,76.0,2015/2016,Arrival
Ángel Di María,Manchester United,Right Winger,75.0,2014/2015,Arrival
Riyad Mahrez,Manchester City,Right Winger,67.8,2018/2019,Arrival
Álvaro Morata,Chelsea,Centre-Forward,66.0,2017/2018,Arrival
Aymeric Laporte,Manchester City,Centre-Back,65.0,2017/2018,Arrival
Christian Pulisic,Chelsea,Right Winger,64.0,2018/2019,Arrival
Pierre-Emerick Aubameyang,Arsenal,Centre-Forward,63.75,2017/2018,Arrival
Raheem Sterling,Manchester City,Left Winger,63.7,2015/2016,Arrival
Raheem Sterling,Liverpool,Left Winger,63.7,2015/2016,Departure
Ángel Di María,Manchester United,Right Winger,63.0,2015/2016,Departure
Alisson,Liverpool,Goalkeeper,62.5,2018/2019,Arrival
Oscar,Chelsea,Attacking Midfield,60.0,2016/2017,Departure
Naby Keïta,Liverpool,Central Midfield,60.0,2018/2019,Arrival
Anthony Martial,Manchester United,Centre-Forward,60.0,2015/2016,Arrival
Diego Costa,Chelsea,Centre-Forward,60.0,2017/2018,Departure
Fred,Manchester United,Central Midfield,59.0,2018/2019,Arrival
Benjamin Mendy,Manchester City,Left-Back,57.5,2017/2018,Arrival
Jorginho,Chelsea,Defensive Midfield,57.0,2018/2019,Arrival
John Stones,Manchester City,Centre-Back,55.6,2016/2017,Arrival
Alexandre Lacazette,Arsenal,Centre-Forward,53.0,2017/2018,Arrival
Kyle Walker,Manchester City,Right-Back,52.7,2017/2018,Arrival
Kyle Walker,Tottenham Hotspur,Right-Back,52.7,2017/2018,Departure
Leroy Sané,Manchester City,Right Winger,52.0,2016/2017,Arrival
Bernardo Silva,Manchester City,Attacking Midfield,50.0,2017/2018,Arrival
David Luiz,Chelsea,Centre-Back,49.5,2014/2015,Departure
Mesut Özil,Arsenal,Attacking Midfield,47.0,2013/2014,Arrival
Christian Benteke,Liverpool,Centre-Forward,46.5,2015/2016,Arrival
Fabinho,Liverpool,Defensive Midfield,45.0,2018/2019,Arrival
Granit Xhaka,Arsenal,Defensive Midfield,45.0,2016/2017,Arrival
Eliaquim Mangala,Manchester City,Centre-Back,45.0,2014/2015,Arrival
Juan Mata,Chelsea,Attacking Midfield,44.73,2013/2014,Departure
Juan Mata,Manchester United,Attacking Midfield,44.73,2013/2014,Arrival
Nemanja Matic,Manchester United,Defensive Midfield,44.7,2017/2018,Arrival
Nemanja Matic,Chelsea,Defensive Midfield,44.7,2017/2018,Departure
Nicolás Otamendi,Manchester City,Centre-Back,44.5,2015/2016,Arrival
Alexis Sánchez,Arsenal,Centre-Forward,42.5,2014/2015,Arrival
Mohamed Salah,Liverpool,Right Winger,42.0,2017/2018,Arrival
Davinson Sánchez,Tottenham Hotspur,Centre-Back,42.0,2017/2018,Arrival
Henrikh Mkhitaryan,Manchester United,Central Midfield,42.0,2016/2017,Arrival
Sadio Mané,Liverpool,Left Winger,41.2,2016/2017,Arrival
Roberto Firmino,Liverpool,Centre-Forward,41.0,2015/2016,Arrival
Shkodran Mustafi,Arsenal,Centre-Back,41.0,2016/2017,Arrival
Ederson,Manchester City,Goalkeeper,40.0,2017/2018,Arrival
Tiemoué Bakayoko,Chelsea,Defensive Midfield,40.0,2017/2018,Arrival
Fernandinho,Manchester City,Defensive Midfield,40.0,2013/2014,Arrival
Michy Batshuayi,Chelsea,Centre-Forward,39.0,2016/2017,Arrival
Alex Oxlade-Chamberlain,Liverpool,Central Midfield,38.0,2017/2018,Arrival
Alex Oxlade-Chamberlain,Arsenal,Central Midfield,38.0,2017/2018,Departure
Eric Bailly,Manchester United,Centre-Back,38.0,2016/2017,Arrival
Diego Costa,Chelsea,Centre-Forward,38.0,2014/2015,Arrival
Danny Drinkwater,Chelsea,Central Midfield,37.9,2017/2018,Arrival
Luke Shaw,Manchester United,Left-Back,37.5,2014/2015,Arrival
Ander Herrera,Manchester United,Central Midfield,36.0,2014/2015,Arrival
N'Golo Kanté,Chelsea,Defensive Midfield,35.8,2016/2017,Arrival
Willian,Chelsea,Left Winger,35.5,2013/2014,Arrival
Romelu Lukaku,Chelsea,Centre-Forward,35.36,2014/2015,Departure
Victor Lindelöf,Manchester United,Centre-Back,35.0,2017/2018,Arrival
Antonio Rüdiger,Chelsea,Centre-Back,35.0,2017/2018,Arrival
Thibaut Courtois,Chelsea,Goalkeeper,35.0,2018/2019,Departure
Morgan Schneiderlin,Manchester United,Defensive Midfield,35.0,2015/2016,Arrival
Luka Modric,Tottenham Hotspur,Central Midfield,35.0,2012/2013,Departure
Eden Hazard,Chelsea,Left Winger,35.0,2012/2013,Arrival
Moussa Sissoko,Tottenham Hotspur,Central Midfield,35.0,2016/2017,Arrival
David Luiz,Chelsea,Centre-Back,35.0,2016/2017,Arrival
Henrikh Mkhitaryan,Manchester United,Central Midfield,34.0,2017/2018,Departure
Memphis Depay,Manchester United,Centre-Forward,34.0,2015/2016,Arrival
Alexis Sánchez,Arsenal,Centre-Forward,34.0,2017/2018,Departure
Alexis Sánchez,Manchester United,Centre-Forward,34.0,2017/2018,Arrival
Henrikh Mkhitaryan,Arsenal,Central Midfield,34.0,2017/2018,Arrival
Cesc Fàbregas,Chelsea,Central Midfield,33.0,2014/2015,Arrival
Marouane Fellaini,Manchester United,Central Midfield,32.4,2013/2014,Arrival
Wilfried Bony,Manchester City,Centre-Forward,32.3,2014/2015,Arrival
