Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
17,Sadio Mané,Liverpool,0.04,,Blocked,16.0,Right Foot,
18,Roberto Firmino,Liverpool,0.59,,Off Target,5.0,Right Foot,Volley
19,Mohamed Salah,Liverpool,0.74,0.95,Goal,4.0,Right Foot,
24,Trent Alexander-Arnold,Liverpool,0.06,0.57,Saved,31.0,Right Foot,Free kick
25,Georginio Wijnaldum,Liverpool,0.09,,Off Target,12.0,Left Foot,
36,Mohamed Salah,Liverpool,0.06,0.06,Saved,12.0,Head,
37,Mohamed Salah,Liverpool,0.53,0.62,Saved,5.0,Right Foot,
45,Sadio Mané,Liverpool,0.75,0.94,Goal,4.0,Right Foot,
,,,,,,,,
53,Sadio Mané,Liverpool,0.11,0.28,Goal,16.0,Right Foot,
65,James Milner,Liverpool,0.08,,Blocked,23.0,Right Foot,Free kick
65,Mohamed Salah,Liverpool,0.04,,Off Target,21.0,Left Foot,
68,Sadio Mané,Liverpool,0.08,,Off Target,6.0,Head,
70,Joe Gomez,Liverpool,0.15,,Off Target,10.0,Other,
73,Georginio Wijnaldum,Liverpool,0.03,,Off Target,30.0,Right Foot,
78,Naby Keïta,Liverpool,0.03,,Off Target,14.0,Left Foot,
80,Georginio Wijnaldum,Liverpool,0.05,,Blocked,20.0,Right Foot,
88,Daniel Sturridge,Liverpool,0.59,0.94,Goal,3.0,Left Foot,Volley
90,Daniel Sturridge,Liverpool,0.05,0.1,Saved,15.0,Left Foot,
3,Mohamed Salah,Liverpool,0.05,,Blocked,14.0,Left Foot,
23,Mohamed Salah,Liverpool,0.38,,Off Target,16.0,Left Foot,
27,Mohamed Salah,Liverpool,0.07,,Blocked,21.0,Left Foot,
27,Naby Keïta,Liverpool,0.26,0.31,Saved,10.0,Left Foot,
35,Andrew Robertson,Liverpool,0.06,,Off Target,15.0,Left Foot,Volley
44,James Milner,Liverpool,0.02,,Blocked,33.0,Right Foot,
45,James Milner (pen),Liverpool,0.79,0.99,Goal,13.0,Right Foot,
,,,,,,,,
49,Naby Keïta,Liverpool,0.07,,Off Target,17.0,Right Foot,
60,Mohamed Salah,Liverpool,0.02,,Blocked,25.0,Left Foot,Volley
61,Trent Alexander-Arnold,Liverpool,0.03,,Blocked,26.0,Right Foot,
77,Mohamed Salah,Liverpool,0.16,,Blocked,21.0,Left Foot,Free kick
78,Naby Keïta,Liverpool,0.01,0.06,Saved,31.0,Right Foot,
81,Sadio Mané,Liverpool,0.07,0.17,Saved,14.0,Right Foot,
84,Mohamed Salah,Liverpool,0.08,0.22,Saved,10.0,Head,
87,Roberto Firmino,Liverpool,0.03,,Off Target,21.0,Right Foot,
90,Sadio Mané,Liverpool,0.51,0.73,Goal,11.0,Right Foot,
5,Sadio Mané,Liverpool,0.06,,Off Target,16.0,Left Foot,
9,Roberto Firmino,Liverpool,0.35,0.51,Saved,4.0,Head,
15,Trent Alexander-Arnold,Liverpool,0.11,,Woodwork,21.0,Right Foot,Free kick
19,Mohamed Salah,Liverpool,0.04,0.06,Saved,12.0,Left Foot,
23,Mohamed Salah,Liverpool,0.06,0.58,Goal,16.0,Left Foot,
31,Georginio Wijnaldum,Liverpool,0.06,0.15,Saved,10.0,Right Foot,
34,Sadio Mané,Liverpool,0.1,0.15,Saved,9.0,Head,
44,Roberto Firmino,Liverpool,0.03,,Blocked,28.0,Right Foot,
44,Roberto Firmino,Liverpool,0.03,,Off Target,23.0,Right Foot,
,,,,,,,,
46,Roberto Firmino,Liverpool,0.06,,Blocked,12.0,Right Foot,
58,Naby Keïta,Liverpool,0.03,,Off Target,29.0,Right Foot,
58,Mohamed Salah,Liverpool,0.08,,Blocked,14.0,Left Foot,
61,Joe Gomez,Liverpool,0.07,0.04,Saved,13.0,Head,
69,Roberto Firmino,Liverpool,0.05,0.07,Saved,13.0,Right Foot,
72,Mohamed Salah,Liverpool,0.03,,Blocked,31.0,Left Foot,
86,Daniel Sturridge,Liverpool,0.03,,Blocked,25.0,Left Foot,
86,Trent Alexander-Arnold,Liverpool,0.06,,Blocked,17.0,Left Foot,
87,Georginio Wijnaldum,Liverpool,0.19,,Blocked,4.0,Right Foot,Deflected
87,Mohamed Salah,Liverpool,0.04,,Off Target,19.0,Left Foot,
90,Georginio Wijnaldum,Liverpool,0.06,,Blocked,16.0,Right Foot,
90,Daniel Sturridge,Liverpool,0.03,,Off Target,20.0,Left Foot,
90,Mohamed Salah,Liverpool,0.07,,Off Target,18.0,Left Foot,
4,Roberto Firmino,Liverpool,0.28,0.11,Saved,15.0,Right Foot,
4,Mohamed Salah,Liverpool,0.34,,Off Target,12.0,Left Foot,
10,Sadio Mané,Liverpool,0.1,0.12,Goal,12.0,Left Foot,
16,Joe Gomez,Liverpool,0.06,,Off Target,11.0,Head,
21,Georginio Wijnaldum,Liverpool,0.07,,Blocked,14.0,Left Foot,
43,Mohamed Salah,Liverpool,0.03,0.25,Saved,27.0,Left Foot,
45,Roberto Firmino,Liverpool,0.06,0.31,Goal,10.0,Head,
,,,,,,,,
54,Mohamed Salah,Liverpool,0.03,,Blocked,25.0,Left Foot,
82,Sadio Mané,Liverpool,0.15,,Off Target,8.0,Head,
86,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,29.0,Right Foot,
3,Virgil van Dijk,Liverpool,0.08,,Off Target,8.0,Head,
6,Trent Alexander-Arnold,Liverpool,0.06,0.14,Saved,28.0,Right Foot,Free kick
22,Mohamed Salah,Liverpool,0.27,0.55,Saved,12.0,Left Foot,
35,Sadio Mané,Liverpool,0.09,0.51,Saved,11.0,Left Foot,
39,Georginio Wijnaldum,Liverpool,0.08,0.43,Goal,8.0,Head,
43,Georginio Wijnaldum,Liverpool,0.06,,Off Target,12.0,Right Foot,
,,,,,,,,
49,Naby Keïta,Liverpool,0.02,0.04,Saved,26.0,Right Foot,Volley
49,Sadio Mané,Liverpool,0.08,0.13,Saved,15.0,Left Foot,
54,Roberto Firmino,Liverpool,0.98,0.97,Goal,1.0,Left Foot,
60,Virgil van Dijk,Liverpool,0.08,,Off Target,11.0,Head,
63,Naby Keïta,Liverpool,0.32,0.39,Saved,10.0,Left Foot,
81,Mohamed Salah,Liverpool,0.05,0.11,Saved,17.0,Left Foot,
81,Sadio Mané,Liverpool,0.11,,Off Target,8.0,Left Foot,
81,Sadio Mané,Liverpool,0.06,0.03,Saved,17.0,Left Foot,
84,Mohamed Salah,Liverpool,0.12,,Blocked,13.0,Left Foot,
84,Mohamed Salah,Liverpool,0.1,,Blocked,11.0,Left Foot,
90,Sadio Mané,Liverpool,0.03,,Off Target,27.0,Left Foot,
6,Virgil van Dijk,Liverpool,0.04,0.2,Saved,15.0,Right Foot,
7,James Milner,Liverpool,0.04,0.46,Saved,25.0,Left Foot,
10,Sadio Mané,Liverpool,0.04,0.03,Saved,24.0,Left Foot,
15,Joe Gomez,Liverpool,0.07,,Off Target,9.0,Head,
26,Sadio Mané,Liverpool,0.06,,Off Target,13.0,Left Foot,
30,Daniel Sturridge,Liverpool,0.39,0.42,Goal,7.0,Head,
32,Daniel Sturridge,Liverpool,0.19,,Blocked,4.0,Left Foot,
36,James Milner (pen),Liverpool,0.79,1.0,Goal,13.0,Right Foot,
,,,,,,,,
58,Georginio Wijnaldum,Liverpool,0.03,,Blocked,23.0,Right Foot,
61,Daniel Sturridge,Liverpool,0.26,0.22,Saved,11.0,Head,
65,Daniel Sturridge,Liverpool,0.03,,Off Target,22.0,Right Foot,
68,Mohamed Salah,Liverpool,0.04,,Blocked,18.0,Left Foot,
72,Mohamed Salah,Liverpool,0.04,,Off Target,15.0,Left Foot,
82,Sadio Mané,Liverpool,0.17,,Off Target,5.0,Left Foot,
87,Trent Alexander-Arnold,Liverpool,0.07,,Blocked,23.0,Right Foot,Free kick
89,Trent Alexander-Arnold,Liverpool,0.03,,Blocked,22.0,Right Foot,
90,Roberto Firmino,Liverpool,0.06,0.52,Goal,13.0,Right Foot,
4,Roberto Firmino,Liverpool,0.08,,Off Target,9.0,Head,
10,Xherdan Shaqiri,Liverpool,0.03,,Blocked,17.0,Right Foot,
21,Joël Matip,Liverpool,0.07,0.56,Goal,9.0,Head,
31,Georginio Wijnaldum,Liverpool,0.04,,Off Target,25.0,Right Foot,
43,Mohamed Salah,Liverpool,0.23,,Off Target,4.0,Left Foot,
45,Roberto Firmino,Liverpool,0.04,,Blocked,18.0,Right Foot,
45,Sadio Mané,Liverpool,0.03,0.04,Saved,26.0,Right Foot,
45,Xherdan Shaqiri,Liverpool,0.06,,Woodwork,30.0,Left Foot,Free kick
45,Mohamed Salah,Liverpool,0.96,0.98,Goal,1.0,Left Foot,
,,,,,,,,
85,Andrew Robertson,Liverpool,0.04,,Off Target,16.0,Left Foot,Volley
89,James Milner,Liverpool,0.07,,Blocked,15.0,Right Foot,
89,James Milner,Liverpool,0.09,,Blocked,12.0,Left Foot,
5,Mohamed Salah,Liverpool,0.03,0.02,Saved,22.0,Left Foot,
11,Mohamed Salah,Liverpool,0.06,,Off Target,22.0,Left Foot,
15,Sadio Mané,Liverpool,0.04,,Off Target,23.0,Right Foot,
18,Roberto Firmino,Liverpool,0.05,,Blocked,16.0,Right Foot,
32,Mohamed Salah,Liverpool,0.45,,Blocked,8.0,Right Foot,
44,Sadio Mané,Liverpool,0.07,,Off Target,15.0,Left Foot,Volley
,,,,,,,,
58,Sadio Mané,Liverpool,0.07,0.2,Saved,11.0,Right Foot,
59,Mohamed Salah,Liverpool,0.04,,Off Target,16.0,Left Foot,
70,Xherdan Shaqiri,Liverpool,0.3,,Off Target,11.0,Right Foot,
72,Roberto Firmino,Liverpool,0.39,,Blocked,7.0,Head,
84,Xherdan Shaqiri,Liverpool,0.06,0.17,Saved,30.0,Left Foot,Free kick
85,Naby Keïta,Liverpool,0.03,,Off Target,24.0,Right Foot,
89,Daniel Sturridge,Liverpool,0.03,0.58,Goal,27.0,Left Foot,
26,Georginio Wijnaldum,Liverpool,0.03,,Off Target,26.0,Right Foot,
38,Mohamed Salah,Liverpool,0.04,,Blocked,23.0,Left Foot,
38,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,26.0,Right Foot,
,,,,,,,,
68,Mohamed Salah,Liverpool,0.03,,Off Target,22.0,Left Foot,
4,Mohamed Salah,Liverpool,0.05,,Off Target,16.0,Left Foot,
12,Dejan Lovren,Liverpool,0.08,,Off Target,9.0,Head,
,,,,,,,,
50,Joe Gomez,Liverpool,0.04,,Blocked,21.0,Left Foot,
62,Mohamed Salah,Liverpool,0.05,0.09,Saved,16.0,Left Foot,
65,Joe Gomez,Liverpool,0.03,,Off Target,26.0,Right Foot,Volley
69,Mohamed Salah,Liverpool,0.04,,Off Target,18.0,Left Foot,
79,Daniel Sturridge,Liverpool,0.07,0.37,Saved,11.0,Head,
17,Xherdan Shaqiri,Liverpool,0.08,,Blocked,17.0,Left Foot,Volley
24,Mohamed Salah,Liverpool,0.07,0.68,Goal,11.0,Right Foot,
26,Xherdan Shaqiri,Liverpool,0.03,,Blocked,26.0,Left Foot,
26,Andrew Robertson,Liverpool,0.03,,Blocked,25.0,Left Foot,
,,,,,,,,
47,Andrew Robertson,Liverpool,0.03,,Blocked,19.0,Left Foot,
