Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2018-09-18,20:00,Group stage,Tue,Home,W,3,2,Paris S-G,2.3,0.8,53.0,52478,Jordan Henderson,4-3-3,Baris Şimşek
2018-10-03,21:00,Group stage,Wed,Away,L,0,1,Napoli,0.1,1.9,43.0,37057,James Milner,4-3-3,Sándor Andó-Szabó
2018-10-24,20:00,Group stage,Wed,Home,W,4,0,Red Star,5.0,0.5,65.0,53024,Virgil van Dijk,4-2-3-1,Daniel Siebert
2018-11-06,18:55,Group stage,Tue,Away,L,0,2,Red Star,2.2,0.7,72.0,51318,James Milner,4-3-3,Antonio Matéu Lahoz
2018-11-28,21:00,Group stage,Wed,Away,L,1,2,Paris S-G,1.3,1.5,56.0,46880,Jordan Henderson,4-3-3,Tomasz Musiał
2018-12-11,20:00,Group stage,Tue,Home,W,1,0,Napoli,3.0,1.2,48.0,52015,Jordan Henderson,4-3-3,Damir Skomina
2019-02-19,20:00,Round of 16,Tue,Home,D,0,0,Bayern Munich,2.1,0.4,49.0,52250,Jordan Henderson,4-3-3,Gianluca Rocchi
2019-03-13,21:00,Round of 16,Wed,Away,W,3,1,Bayern Munich,1.1,0.3,42.0,68145,Jordan Henderson,4-3-3,Daniele Orsato
2019-04-09,20:00,Quarter-finals,Tue,Home,W,2,0,Porto,2.3,0.8,64.0,52465,Jordan Henderson,4-3-3,Antonio Matéu Lahoz
2019-04-17,20:00,Quarter-finals,Wed,Away,W,4,1,Porto,3.5,1.0,49.0,49117,James Milner,4-3-3,Danny Makkelie
2019-05-01,21:00,Semi-finals,Wed,Away,L,0,3,Barcelona,1.8,2.4,52.0,98299,James Milner,4-3-3,Björn Kuipers
2019-05-07,20:00,Semi-finals,Tue,Home,W,4,0,Barcelona,2.3,1.4,42.0,55212,Jordan Henderson,4-3-3,Cüneyt Çakιr
2019-06-01,21:00,Final,Sat,Neutral,W,2,0, Tottenham,1.3,0.8,36.0,63272,Jordan Henderson,4-3-3,Damir Skomina
