Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Daniel Sturridge,15,ENG,FW,29-017,71,1,0,0,0,4,2,0,0,30,0,0,1,0.9,0.9,0.1,1,0,15,18,83.3,2,21,3,3,2
Roberto Firmino,9,BRA,FW,26-351,19,1,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,0,5,1,0,0
Sadio Mané,10,SEN,LW,26-161,89,0,0,0,0,3,1,0,0,43,0,1,1,0.3,0.3,0.1,8,0,20,31,64.5,3,37,4,4,3
Fabinho,3,BRA,LW,24-330,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
Mohamed Salah,11,EGY,RW,26-095,84,0,0,0,0,2,0,0,0,47,1,0,0,0.1,0.1,0.1,5,0,26,40,65.0,4,33,1,1,1
Xherdan Shaqiri,23,SUI,RW,26-343,6,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,5,0,0,0
James Milner,7,ENG,LM,32-257,90,1,0,1,1,1,1,0,0,69,5,1,0,0.8,0.0,0.0,2,1,42,58,72.4,8,36,2,1,1
Jordan Henderson,14,ENG,CM,28-093,90,0,0,0,0,0,0,0,0,52,2,2,0,0.0,0.0,0.1,5,0,41,47,87.2,8,30,2,0,0
Georginio Wijnaldum,5,NED,RM,27-311,90,0,0,0,0,1,0,0,0,58,1,0,0,0.0,0.0,0.0,2,1,47,51,92.2,2,48,3,1,0
Andrew Robertson,26,SCO,LB,24-191,90,0,1,0,0,0,0,0,0,70,2,0,1,0.0,0.0,0.4,2,1,50,64,78.1,7,36,3,0,0
Virgil van Dijk,4,NED,CB,27-072,90,0,1,0,0,1,1,1,0,81,0,1,1,0.0,0.0,0.1,2,1,66,72,91.7,9,62,1,0,0
Joe Gomez,12,ENG,CB,21-118,90,0,0,0,0,1,0,0,0,72,1,1,0,0.1,0.1,0.0,1,1,60,67,89.6,4,56,1,0,0
Trent Alexander-Arnold,66,ENG,RB,19-346,90,0,0,0,0,2,0,0,0,85,5,0,0,0.1,0.1,0.3,4,1,56,77,72.7,6,64,7,2,2
Alisson,13,BRA,GK,25-351,90,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,12,66.7,0,10,0,0,0
Roberto Firmino,9,BRA,"FW,LW",27-001,90,0,0,0,0,0,0,0,0,42,2,0,3,0.0,0.0,0.0,1,0,21,32,65.6,5,31,1,0,0
Sadio Mané,10,SEN,LW,26-176,88,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,1,0,17,26,65.4,1,27,5,4,2
Daniel Sturridge,15,ENG,FW,29-032,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
Mohamed Salah,11,EGY,RW,26-110,90,0,0,0,0,2,0,0,0,34,1,0,0,0.1,0.1,0.0,1,0,15,23,65.2,2,30,0,2,0
Naby Keïta,8,GUI,LM,23-235,18,0,0,0,0,0,0,0,0,13,1,1,1,0.0,0.0,0.0,0,0,5,8,62.5,0,8,0,0,0
Jordan Henderson,14,ENG,"CM,RM",28-108,72,0,0,0,0,0,0,0,0,53,2,1,0,0.0,0.0,0.0,0,0,47,51,92.2,4,40,1,0,0
Georginio Wijnaldum,5,NED,"RM,CM,LM",27-326,90,0,0,0,0,1,0,0,0,45,2,0,2,0.0,0.0,0.0,0,0,34,37,91.9,1,36,0,0,0
James Milner,7,ENG,"LM,RM",32-272,75,0,0,0,0,0,0,1,0,50,0,0,3,0.0,0.0,0.0,2,0,37,43,86.0,8,35,2,1,0
Fabinho,3,BRA,CM,24-345,15,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,9,0,0,0
Andrew Robertson,26,SCO,LB,24-206,90,0,0,0,0,0,0,0,0,67,5,1,0,0.0,0.0,0.0,2,0,39,54,72.2,4,42,1,3,2
Virgil van Dijk,4,NED,CB,27-087,90,0,0,0,0,0,0,0,0,70,0,1,1,0.0,0.0,0.0,0,0,53,62,85.5,0,44,0,0,0
Joe Gomez,12,ENG,CB,21-133,90,0,0,0,0,0,0,0,0,79,0,1,0,0.0,0.0,0.0,0,0,60,70,85.7,2,53,1,2,2
Trent Alexander-Arnold,66,ENG,RB,19-361,90,0,0,0,0,1,0,0,0,83,0,2,2,0.0,0.0,0.0,0,0,55,74,74.3,7,49,1,1,0
Alisson,13,BRA,GK,26-001,90,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,44,55,80.0,0,34,0,0,0
