,Club,Date,Time,Round,Day,Venue,Result,GF,GA,Points,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
0,Manchester City,2018-08-12,16:00,Matchweek 1,Sun,Away,W,2,0,3,Arsenal,1.7,0.5,58,59934,Fernandinho,4-2-3-1,Michael Oliver
1,Manchester City,2018-08-19,13:30,Matchweek 2,Sun,Home,W,6,1,3,Huddersfield,4.2,0.7,76,54021,Vincent Kompany,3-1-4-2,Andre Marriner
2,Manchester City,2018-08-25,12:30,Matchweek 3,Sat,Away,D,1,1,1,Wolves,1.6,1.0,71,31322,Vincent Kompany,4-3-3,Martin Atkinson
3,Manchester City,2018-09-01,17:30,Matchweek 4,Sat,Home,W,2,1,3,Newcastle Utd,2.0,0.5,78,53946,David Silva,4-1-3-2,Kevin Friend
4,Manchester City,2018-09-15,15:00,Matchweek 5,Sat,Home,W,3,0,3,Fulham,4.8,0.4,64,53307,David Silva,4-3-3,Stuart Attwell
5,Manchester City,2018-09-22,15:00,Matchweek 6,Sat,Away,W,5,0,3,Cardiff City,2.5,0.1,78,32321,Fernandinho,4-3-3,Michael Oliver
6,Manchester City,2018-09-29,15:00,Matchweek 7,Sat,Home,W,2,0,3,Brighton,2.7,0.2,79,54152,David Silva,4-3-3,Lee Mason
7,Manchester City,2018-10-07,16:30,Matchweek 8,Sun,Away,D,0,0,1,Liverpool,1.0,0.4,51,52117,David Silva,4-2-3-1,Martin Atkinson
8,Manchester City,2018-10-20,15:00,Matchweek 9,Sat,Home,W,5,0,3,Burnley,4.0,0.4,69,54094,Vincent Kompany,4-3-3,Jonathan Moss
9,Manchester City,2018-10-29,20:00,Matchweek 10,Mon,Away,W,1,0,3,Tottenham,1.6,0.4,51,56854,David Silva,4-3-3,Kevin Friend
10,Manchester City,2018-11-04,15:00,Matchweek 11,Sun,Home,W,6,1,3,Southampton,2.2,2.0,66,53916,David Silva,4-3-3,Lee Mason
11,Manchester City,2018-11-11,16:30,Matchweek 12,Sun,Home,W,3,1,3,Manchester Utd,1.9,1.1,65,54316,David Silva,4-3-3,Anthony Taylor
12,Manchester City,2018-11-24,15:00,Matchweek 13,Sat,Away,W,4,0,3,West Ham,2.7,0.9,69,56886,David Silva,4-3-3,Andre Marriner
13,Manchester City,2018-12-01,15:00,Matchweek 14,Sat,Home,W,3,1,3,Bournemouth,2.6,0.6,72,54409,Fernandinho,4-3-3,Stuart Attwell
14,Manchester City,2018-12-04,20:00,Matchweek 15,Tue,Away,W,2,1,3,Watford,2.5,1.8,70,20389,Vincent Kompany,4-3-3,Paul Tierney
15,Manchester City,2018-12-08,17:30,Matchweek 16,Sat,Away,L,0,2,0,Chelsea,0.9,0.6,61,40571,David Silva,4-3-3,Michael Oliver
16,Manchester City,2018-12-15,12:30,Matchweek 17,Sat,Home,W,3,1,3,Everton,1.7,1.5,67,54173,Fernandinho,4-3-3,Craig Pawson
17,Manchester City,2018-12-22,15:00,Matchweek 18,Sat,Home,L,2,3,0,Crystal Palace,1.5,0.9,78,54340,Fabian Delph,4-3-3,Andre Marriner
18,Manchester City,2018-12-26,15:00,Matchweek 19,Wed,Away,L,1,2,0,Leicester City,1.4,1.3,66,32090,Sergio Agüero,4-3-3,Mike Dean
19,Manchester City,2018-12-30,14:15,Matchweek 20,Sun,Away,W,3,1,3,Southampton,2.5,0.2,76,31381,Vincent Kompany,4-3-3,Paul Tierney
20,Manchester City,2019-01-03,20:00,Matchweek 21,Thu,Home,W,2,1,3,Liverpool,1.1,1.5,49,54511,Vincent Kompany,4-3-3,Anthony Taylor
21,Manchester City,2019-01-14,20:00,Matchweek 22,Mon,Home,W,3,0,3,Wolves,2.8,0.1,76,54171,David Silva,4-3-3,Craig Pawson
22,Manchester City,2019-01-20,13:30,Matchweek 23,Sun,Away,W,3,0,3,Huddersfield,2.0,0.9,67,24190,Fernandinho,4-3-3,Andre Marriner
23,Manchester City,2019-01-29,20:00,Matchweek 24,Tue,Away,L,1,2,0,Newcastle Utd,1.4,1.1,75,50861,David Silva,4-3-3,Paul Tierney
24,Manchester City,2019-02-03,16:30,Matchweek 25,Sun,Home,W,3,1,3,Arsenal,2.7,0.7,59,54483,David Silva,4-3-3,Martin Atkinson
25,Manchester City,2019-02-06,19:45,Matchweek 27,Wed,Away,W,2,0,3,Everton,2.2,0.1,61,39322,David Silva,4-3-3,Craig Pawson
26,Manchester City,2019-02-10,16:00,Matchweek 26,Sun,Home,W,6,0,3,Chelsea,3.0,0.9,56,54452,Fernandinho,4-3-3,Mike Dean
27,Manchester City,2019-02-27,20:00,Matchweek 28,Wed,Home,W,1,0,3,West Ham,3.5,0.4,75,53528,Vincent Kompany,4-3-3,Stuart Attwell
28,Manchester City,2019-03-02,15:00,Matchweek 29,Sat,Away,W,1,0,3,Bournemouth,1.2,0.0,81,10699,David Silva,4-3-3,Kevin Friend
29,Manchester City,2019-03-09,17:30,Matchweek 30,Sat,Home,W,3,1,3,Watford,3.4,0.2,71,54104,Vincent Kompany,4-3-3,Paul Tierney
30,Manchester City,2019-03-30,12:30,Matchweek 32,Sat,Away,W,2,0,3,Fulham,1.8,0.5,65,25001,David Silva,4-3-3,Kevin Friend
31,Manchester City,2019-04-03,19:45,Matchweek 33,Wed,Home,W,2,0,3,Cardiff City,3.2,0.1,79,53559,Fernandinho,4-3-3,Jonathan Moss
32,Manchester City,2019-04-14,14:05,Matchweek 34,Sun,Away,W,3,1,3,Crystal Palace,2.5,0.4,73,25721,Vincent Kompany,4-2-3-1,Martin Atkinson
