Player,Club,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ederson,Manchester City,BRA,GK,24.0,55.3,3,0,0,2.0,5.0,0.0,0.0,3.0,3.0,0.0,2.0,0,78.0,14.0,0.0,100.0
Aymeric Laporte,Manchester City,ESP,DF,24.0,48.3,5,0,0,40.0,26.0,2.0,10.0,59.0,31.0,0.0,1.0,0,225.0,102.0,69.0,59.6
Kyle Walker,Manchester City,ENG,DF,28.0,48.1,6,0,0,27.0,22.0,6.0,87.0,48.0,34.0,0.0,1.0,0,209.0,54.0,29.0,65.1
Raheem Sterling,Manchester City,ENG,FW,23.0,45.8,5,0,0,63.0,59.0,21.0,103.0,27.0,25.0,4.0,0.0,0,156.0,18.0,31.0,36.7
Bernardo Silva,Manchester City,POR,"MF,FW",23.0,44.8,3,0,0,45.0,32.0,3.0,94.0,36.0,52.0,2.0,0.0,0,200.0,12.0,31.0,27.9
David Silva,Manchester City,ESP,MF,32.0,41.2,3,0,0,42.0,42.0,9.0,103.0,32.0,28.0,2.0,0.0,0,169.0,23.0,33.0,41.1
İlkay Gündoğan,Manchester City,GER,MF,27.0,38.0,4,0,0,26.0,30.0,0.0,149.0,43.0,21.0,0.0,0.0,0,199.0,31.0,32.0,49.2
Fernandinho,Manchester City,BRA,"MF,DF",33.0,37.4,9,0,0,61.0,34.0,2.0,4.0,65.0,56.0,0.0,2.0,0,215.0,91.0,73.0,55.5
Sergio Agüero,Manchester City,ARG,FW,30.0,37.2,7,0,0,29.0,33.0,33.0,20.0,12.0,14.0,0.0,0.0,0,79.0,23.0,25.0,47.9
John Stones,Manchester City,ENG,DF,24.0,31.7,1,0,0,10.0,13.0,1.0,3.0,30.0,19.0,0.0,0.0,0,141.0,71.0,31.0,69.6
Leroy Sané,Manchester City,GER,"FW,DF",22.0,30.0,1,0,0,12.0,25.0,21.0,129.0,13.0,27.0,1.0,0.0,0,118.0,11.0,25.0,30.6
Riyad Mahrez,Manchester City,ALG,FW,27.0,28.7,1,0,0,20.0,27.0,16.0,151.0,13.0,17.0,0.0,0.0,0,103.0,21.0,28.0,42.9
Nicolás Otamendi,Manchester City,ARG,DF,30.0,27.9,5,1,1,26.0,11.0,1.0,2.0,47.0,24.0,0.0,1.0,0,86.0,62.0,33.0,65.3
Oleksandr Zinchenko,Manchester City,UKR,DF,21.0,26.3,2,0,0,26.0,6.0,3.0,78.0,38.0,43.0,0.0,0.0,0,99.0,28.0,38.0,42.4
Gabriel Jesus,Manchester City,BRA,FW,21.0,25.6,1,0,0,25.0,39.0,31.0,7.0,8.0,9.0,0.0,0.0,0,54.0,18.0,51.0,26.1
Kevin De Bruyne,Manchester City,BEL,MF,27.0,20.2,2,0,0,19.0,24.0,1.0,165.0,13.0,28.0,0.0,0.0,0,81.0,7.0,12.0,36.8
Vincent Kompany,Manchester City,BEL,DF,32.0,19.9,7,0,0,22.0,2.0,1.0,0.0,23.0,13.0,0.0,0.0,0,82.0,38.0,17.0,69.1
Danilo,Manchester City,BRA,DF,27.0,16.5,4,0,0,14.0,9.0,0.0,22.0,23.0,28.0,0.0,0.0,0,73.0,19.0,14.0,57.6
Benjamin Mendy,Manchester City,FRA,DF,24.0,14.1,1,0,0,22.0,3.0,0.0,72.0,11.0,17.0,0.0,0.0,0,73.0,9.0,23.0,28.1
Fabian Delph,Manchester City,ENG,"DF,MF",28.0,13.6,1,1,0,13.0,11.0,0.0,12.0,21.0,17.0,0.0,1.0,0,80.0,14.0,17.0,45.2
Phil Foden,Manchester City,ENG,MF,18.0,12.8,1,0,0,14.0,9.0,0.0,15.0,6.0,13.0,0.0,0.0,0,21.0,3.0,7.0,30.0
Arijanet Muric,Manchester City,KVX,GK,19.0,5.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Eric García,Manchester City,ESP,DF,17.0,3.3,0,0,0,5.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0,,,,
Brahim Díaz,Manchester City,MAR,"FW,MF",18.0,2.3,0,0,0,4.0,3.0,3.0,6.0,3.0,2.0,0.0,0.0,0,,,,
Philippe Sandler,Manchester City,NED,DF,21.0,1.3,0,0,0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0,,,,
Claudio Bravo,Manchester City,CHI,GK,35.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,,,
Ian Carlo Poveda,Manchester City,ENG,FW,18.0,1.0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,,,,
Felix Nmecha,Manchester City,GER,MF,17.0,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,
Alisson,Liverpool,BRA,GK,25.0,51.0,1,0,0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0,92.0,13.0,1.0,92.9
Virgil van Dijk,Liverpool,NED,DF,27.0,49.6,4,0,0,20.0,27.0,1.0,0.0,50.0,36.0,0.0,1.0,0,246.0,215.0,86.0,71.4
Mohamed Salah,Liverpool,EGY,FW,26.0,48.1,2,0,0,43.0,49.0,33.0,79.0,9.0,12.0,5.0,0.0,0,169.0,15.0,78.0,16.1
Sadio Mané,Liverpool,SEN,FW,26.0,47.7,4,0,0,59.0,89.0,39.0,56.0,20.0,45.0,3.0,0.0,0,195.0,53.0,107.0,33.1
Andrew Robertson,Liverpool,SCO,DF,24.0,46.9,7,0,0,29.0,17.0,1.0,161.0,36.0,63.0,0.0,0.0,0,292.0,29.0,34.0,46.0
Georginio Wijnaldum,Liverpool,NED,MF,27.0,41.0,4,0,0,25.0,38.0,3.0,13.0,23.0,34.0,1.0,0.0,0,248.0,41.0,44.0,48.2
Trent Alexander-Arnold,Liverpool,ENG,DF,19.0,37.6,3,0,0,21.0,10.0,5.0,274.0,53.0,49.0,0.0,0.0,0,245.0,16.0,31.0,34.0
Roberto Firmino,Liverpool,BRA,"FW,MF",26.0,37.2,0,0,0,48.0,18.0,8.0,16.0,9.0,29.0,0.0,0.0,0,142.0,37.0,96.0,27.8
Fabinho,Liverpool,BRA,"MF,DF",24.0,32.5,10,0,0,50.0,45.0,0.0,10.0,42.0,55.0,0.0,0.0,0,183.0,75.0,48.0,61.0
James Milner,Liverpool,ENG,"MF,DF",32.0,31.5,9,1,1,47.0,38.0,1.0,191.0,28.0,37.0,0.0,0.0,0,214.0,34.0,49.0,41.0
Jordan Henderson,Liverpool,ENG,MF,28.0,31.3,4,1,1,38.0,14.0,2.0,52.0,43.0,52.0,0.0,0.0,0,236.0,36.0,29.0,55.4
Joël Matip,Liverpool,CMR,DF,26.0,26.1,6,0,0,21.0,23.0,0.0,0.0,47.0,36.0,0.0,0.0,1,146.0,90.0,36.0,71.4
Naby Keïta,Liverpool,GUI,MF,23.0,20.1,2,0,0,32.0,25.0,0.0,6.0,17.0,27.0,0.0,0.0,0,131.0,13.0,25.0,34.2
