Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Ederson,Manchester City,BRA,GK,24.0,55.3,0.0,0.0,0.0,,0.0,0.0,,,
Aymeric Laporte,Manchester City,ESP,DF,24.0,48.3,5.0,36.0,9.0,25.0,0.74,0.19,0.14,0.56,15.0
Kyle Walker,Manchester City,ENG,DF,28.0,48.1,2.0,30.0,6.0,20.0,0.62,0.12,0.07,0.33,27.8
Raheem Sterling,Manchester City,ENG,FW,23.0,45.8,25.0,113.0,55.0,48.7,2.47,1.2,0.22,0.45,14.2
Bernardo Silva,Manchester City,POR,"MF,FW",23.0,44.8,13.0,85.0,35.0,41.2,1.9,0.78,0.15,0.37,15.9
David Silva,Manchester City,ESP,MF,32.0,41.2,10.0,77.0,25.0,32.5,1.87,0.61,0.13,0.4,13.7
İlkay Gündoğan,Manchester City,GER,MF,27.0,38.0,6.0,67.0,13.0,19.4,1.76,0.34,0.09,0.46,20.1
Fernandinho,Manchester City,BRA,"MF,DF",33.0,37.4,1.0,40.0,8.0,20.0,1.07,0.21,0.03,0.13,22.9
Sergio Agüero,Manchester City,ARG,FW,30.0,37.2,32.0,166.0,67.0,40.4,4.47,1.8,0.17,0.42,15.4
John Stones,Manchester City,ENG,DF,24.0,31.7,0.0,10.0,3.0,30.0,0.32,0.09,0.0,0.0,10.1
Leroy Sané,Manchester City,GER,"FW,DF",22.0,30.0,16.0,87.0,35.0,40.2,2.9,1.17,0.18,0.46,17.1
Riyad Mahrez,Manchester City,ALG,FW,27.0,28.7,12.0,98.0,39.0,39.8,3.41,1.36,0.12,0.31,17.5
Nicolás Otamendi,Manchester City,ARG,DF,30.0,27.9,1.0,26.0,6.0,23.1,0.93,0.22,0.04,0.17,11.8
Oleksandr Zinchenko,Manchester City,UKR,DF,21.0,26.3,1.0,16.0,3.0,18.8,0.61,0.11,0.06,0.33,26.4
Gabriel Jesus,Manchester City,BRA,FW,21.0,25.6,21.0,99.0,49.0,49.5,3.87,1.92,0.18,0.37,13.1
Kevin De Bruyne,Manchester City,BEL,MF,27.0,20.2,6.0,50.0,21.0,42.0,2.47,1.04,0.12,0.29,23.9
Vincent Kompany,Manchester City,BEL,DF,32.0,19.9,1.0,7.0,1.0,14.3,0.35,0.05,0.14,1.0,18.4
Danilo,Manchester City,BRA,DF,27.0,16.5,1.0,28.0,7.0,25.0,1.7,0.42,0.04,0.14,25.3
Benjamin Mendy,Manchester City,FRA,DF,24.0,14.1,0.0,10.0,4.0,40.0,0.71,0.28,0.0,0.0,25.3
Fabian Delph,Manchester City,ENG,"DF,MF",28.0,13.6,0.0,12.0,6.0,50.0,0.88,0.44,0.0,0.0,25.2
Phil Foden,Manchester City,ENG,MF,18.0,12.8,7.0,39.0,19.0,48.7,3.05,1.49,0.18,0.37,15.6
Arijanet Muric,Manchester City,KVX,GK,19.0,5.3,0.0,0.0,0.0,,0.0,0.0,,,
Eric García,Manchester City,ESP,DF,17.0,3.3,0.0,2.0,1.0,50.0,0.6,0.3,0.0,0.0,
Brahim Díaz,Manchester City,MAR,"FW,MF",18.0,2.3,2.0,13.0,5.0,38.5,5.55,2.13,0.15,0.4,
Philippe Sandler,Manchester City,NED,DF,21.0,1.3,0.0,0.0,0.0,,0.0,0.0,,,
Claudio Bravo,Manchester City,CHI,GK,35.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
Ian Carlo Poveda,Manchester City,ENG,FW,18.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
Felix Nmecha,Manchester City,GER,MF,17.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,
Rafael Camacho,Liverpool,POR,DF,18.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,
Fabinho,Liverpool,BRA,DF,24.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,
Naby Keïta,Liverpool,GUI,MF,23.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
Simon Mignolet,Liverpool,BEL,GK,30.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
James Milner,Liverpool,ENG,MF,32.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,
Alberto Moreno,Liverpool,ESP,DF,26.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,
Divock Origi,Liverpool,BEL,FW,23.0,1.0,1.0,1.0,1.0,100.0,1.0,1.0,1.0,1.0,
Xherdan Shaqiri,Liverpool,SUI,MF,26.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,
Curtis Jones,Liverpool,ENG,MF,17.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,
Daniel Sturridge,Liverpool,ENG,FW,28.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,
Dejan Lovren,Liverpool,CRO,DF,29.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,
Ki-Jana Hoever,Liverpool,NED,"DF,MF",16.0,0.9,0.0,0.0,0.0,,0.0,0.0,,,
Roberto Firmino,Liverpool,BRA,"FW,MF",26.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,
Mohamed Salah,Liverpool,EGY,"FW,MF",26.0,0.2,0.0,1.0,0.0,0.0,4.29,0.0,0.0,,
Kepa Arrizabalaga,Chelsea,ESP,GK,23.0,55.0,0.0,0.0,0.0,,0.0,0.0,,,
