Player,Club,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Ederson,Manchester City,BRA,GK,24,38,38,3420,38.0,0,1,1,0,0,0,2,0,0.0,0.0,0.1,0.1,0,3,0
Aymeric Laporte,Manchester City,ESP,DF,24,35,34,3057,34.0,3,3,6,3,0,0,3,0,3.0,3.0,0.8,3.8,94,294,9
Bernardo Silva,Manchester City,POR,"MF,FW",23,36,31,2854,31.7,7,7,14,7,0,0,3,0,7.4,7.4,7.8,15.2,152,156,277
Raheem Sterling,Manchester City,ENG,FW,23,34,31,2771,30.8,17,9,26,17,0,0,3,0,13.7,13.7,9.6,23.3,155,87,436
Sergio Agüero,Manchester City,ARG,FW,30,33,31,2459,27.3,21,8,29,19,2,2,4,0,18.1,16.5,5.0,21.5,81,76,253
Kyle Walker,Manchester City,ENG,DF,28,33,30,2779,30.9,1,1,2,1,0,0,3,0,0.8,0.8,1.9,2.7,83,220,92
David Silva,Manchester City,ESP,MF,32,33,28,2401,26.7,6,8,14,6,0,0,2,0,7.8,7.8,8.5,16.3,118,270,222
Fernandinho,Manchester City,BRA,MF,33,29,27,2377,26.4,1,3,4,1,0,0,5,0,1.6,1.6,3.0,4.5,58,236,29
İlkay Gündoğan,Manchester City,GER,MF,27,31,23,2137,23.7,6,3,9,6,0,0,3,0,4.1,4.1,4.3,8.4,82,205,91
Leroy Sané,Manchester City,GER,FW,22,31,21,1867,20.7,10,10,20,10,0,0,1,0,6.7,6.7,7.4,14.1,84,67,341
John Stones,Manchester City,ENG,DF,24,24,20,1764,19.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.6,44,118,5
Riyad Mahrez,Manchester City,ALG,"FW,MF",27,27,14,1343,14.9,7,4,11,7,0,1,0,0,5.5,4.7,4.6,9.3,87,73,191
Nicolás Otamendi,Manchester City,ARG,DF,30,18,14,1236,13.7,0,0,0,0,0,0,1,0,1.3,1.3,0.2,1.5,27,92,3
Oleksandr Zinchenko,Manchester City,UKR,DF,21,14,14,1151,12.8,0,3,3,0,0,0,1,0,0.2,0.2,1.5,1.7,47,95,94
Vincent Kompany,Manchester City,BEL,DF,32,17,13,1224,13.6,1,0,1,1,0,0,6,0,0.3,0.3,0.0,0.3,17,83,3
Kevin De Bruyne,Manchester City,BEL,MF,27,19,11,975,10.8,2,2,4,2,0,0,2,0,1.4,1.4,5.7,7.0,50,109,88
Benjamin Mendy,Manchester City,FRA,DF,24,10,10,900,10.0,0,5,5,0,0,0,1,0,0.2,0.2,1.6,1.8,48,70,59
Danilo,Manchester City,BRA,DF,27,11,9,807,9.0,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,20,77,33
